"","state","nurse","doctor","area","popu","nursepc","nursepa","doctorpc","doctorpa"
"1","Abia",1541,242,4093.65067412,2488632,0.000619215697620219,0.376436614326225,9.72421796392556e-05,0.0591159381355914
"2","Akwa Ibom",1740,208,6514.80735986,3791977,0.00045886354268499,0.267083875836567,5.48526533784356e-05,0.0319272679160953
"3","Anambra",3004,680,4762.18181994,4182032,0.00071831109852818,0.630803298484275,0.000162600381823955,0.142791692067013
"4","Bayelsa",547,125,9006.9828104,1626066,0.000336394709685831,0.0607306588137818,7.68726484656834e-05,0.0138781213011384
"5","Cross River",821,242,20936.8665167,2856581,0.000287406518491861,0.0392131267276859,8.47166595310968e-05,0.0115585586700365
"6","Delta",2737,590,17105.59657567,4098391,0.000667823055438098,0.160006111911522,0.000143958934128052,0.0344916353773467
"7","Ebonyi",845,215,6342.0132332,2173501,0.000388773688164855,0.133238447938974,9.89187490596968e-05,0.0339009068720465
"8","Edo",2019,496,16833.35577801,2965976,0.000680720275551791,0.119940434137172,0.000167229943870079,0.0294653072471706
"9","Ekiti",1071,243,5801.50198789,2384212,0.000449205020358928,0.184607365857255,0.000101920466804126,0.0418857048583687
"10","Enugu",1974,520,6766.37707024,3108524,0.000635028071200351,0.291736623529611,0.000167281964044672,0.0768505796531904
"11","Imo",3874,865,5049.30788103,3835652,0.00100999777873488,0.7672338647747,0.000225515766289538,0.171310607390324
"12","Lagos",5746,2540,3479.716870147,9013534,0.000637485807453547,1.6512837723367,0.000281798459960322,0.729944445133175
"13","Ogun",3683,1017,14153.85714069,3377422,0.0010904767008683,0.260211754533821,0.000301117242677995,0.071853205093917
"14","Ondo",1139,275,15031.5988431,3441024,0.00033100611910873,0.0757737092300623,7.99180708998252e-05,0.0182947937122626
"15","Osun",1799,451,8595.11940884,3423535,0.000525480241913695,0.209304829220842,0.000131735180157352,0.0524716386762644
"16","Oyo",3191,930,27900.30167061,5591589,0.000570678567398283,0.114371523206911,0.000166321237129553,0.0333329729183415
"17","Rivers",2093,611,10105.2657095,5010351,0.00041773520457948,0.207119739368393,0.00012194754419401,0.0604635263994688
